"loan_amnt","term","int_rate","installment","grade","sub_grade","emp_length","home_ownership","annual_inc","verification_status","issue_d","purpose","addr_state","dti","delinq_2yrs","inq_last_6mths","loan_status_Binary"
25975," 60 months",18.64,668.68,"E","E1","2 years","MORTGAGE",46000,"Verified","11-Dec","debt_consolidation","UT",11.8,0,1,"1"
25000," 60 months",17.58,629.14,"D","D4","10+ years","RENT",76000,"Verified","11-Dec","credit_card","CA",18.85,0,0,"0"
30000," 60 months",14.27,702.26,"C","C2","1 year","MORTGAGE",70000,"Verified","11-Dec","debt_consolidation","NH",17.98,0,2,"0"
13000," 60 months",9.91,275.64,"B","B1","2 years","RENT",26004,"Source Verified","11-Dec","other","CA",1.8,0,0,"0"
15200," 36 months",15.27,528.93,"C","C4","5 years","MORTGAGE",96000,"Not Verified","11-Dec","other","TX",22.19,0,2,"1"
16000," 60 months",11.71,353.58,"B","B3","< 1 year","MORTGAGE",84855,"Verified","11-Dec","home_improvement","MD",6.56,0,0,"0"
10000," 36 months",10.65,325.74,"B","B2","< 1 year","RENT",85000,"Source Verified","11-Dec","debt_consolidation","OR",12.16,0,0,"0"
28100," 60 months",17.58,707.16,"D","D4","5 years","RENT",57200,"Verified","11-Dec","debt_consolidation","NJ",23.1,0,0,"0"
15000," 36 months",16.77,533.08,"D","D2","6 years","RENT",95000,"Not Verified","11-Dec","debt_consolidation","MD",7.29,0,1,"0"
12000," 36 months",11.71,396.92,"B","B3","5 years","RENT",48000,"Not Verified","11-Dec","debt_consolidation","CA",8.85,0,0,"0"
6000," 36 months",7.51,186.67,"A","A3","10+ years","OWN",25000,"Source Verified","11-Dec","credit_card","TX",21.22,0,0,"0"
20000," 60 months",14.27,468.17,"C","C2","< 1 year","MORTGAGE",80500,"Verified","11-Dec","debt_consolidation","NM",9.17,1,0,"1"
5000," 36 months",8.9,158.77,"A","A5","n/a","RENT",40000,"Verified","11-Dec","wedding","NY",23.19,0,2,"0"
30000," 60 months",19.91,793.32,"E","E4","10+ years","MORTGAGE",90000,"Verified","11-Dec","debt_consolidation","CA",4.31,1,0,"0"
8000," 36 months",6.03,243.49,"A","A1","10+ years","MORTGAGE",86400,"Source Verified","11-Dec","car","NJ",7.32,0,0,"0"
5000," 36 months",14.27,171.55,"C","C2","2 years","RENT",78500,"Not Verified","11-Dec","debt_consolidation","GA",9.58,1,2,"0"
15250," 60 months",12.69,344.57,"B","B5","3 years","MORTGAGE",31200,"Source Verified","11-Dec","debt_consolidation","GA",26.62,0,0,"0"
22000," 36 months",7.9,688.39,"A","A4","< 1 year","RENT",80000,"Verified","11-Dec","debt_consolidation","NJ",16.14,0,0,"0"
21000," 60 months",12.42,471.61,"B","B4","10+ years","OWN",85000,"Verified","11-Dec","debt_consolidation","AL",8.84,0,1,"0"
5000," 36 months",7.51,155.56,"A","A3","9 years","MORTGAGE",55000,"Verified","11-Dec","debt_consolidation","CA",28.21,0,1,"0"
6250," 36 months",12.69,209.66,"B","B5","7 years","OWN",25899,"Not Verified","11-Dec","debt_consolidation","MI",23.26,0,2,"0"
28000," 36 months",7.9,876.13,"A","A4","8 years","MORTGAGE",120000,"Verified","11-Dec","debt_consolidation","CA",9.81,0,1,"0"
6800," 36 months",10.65,221.5,"B","B2","< 1 year","RENT",57000,"Source Verified","11-Dec","credit_card","CA",18.63,0,1,"0"
12000," 36 months",11.71,396.92,"B","B3","6 years","RENT",86496,"Source Verified","11-Dec","debt_consolidation","NY",14.19,0,0,"0"
20000," 60 months",14.27,468.17,"C","C2","5 years","RENT",83000,"Verified","11-Dec","debt_consolidation","NY",10.08,0,0,"0"
16800," 36 months",12.42,561.38,"B","B4","10+ years","RENT",97000,"Not Verified","11-Dec","debt_consolidation","CA",15.75,0,1,"0"
30000," 60 months",18.64,772.29,"E","E1","10+ years","MORTGAGE",105000,"Verified","11-Dec","credit_card","TX",12.69,0,1,"0"
9000," 36 months",10.65,293.16,"B","B2","< 1 year","RENT",52000,"Source Verified","11-Dec","debt_consolidation","MA",9.65,0,0,"0"
5200," 36 months",9.91,167.57,"B","B1","2 years","MORTGAGE",36000,"Verified","11-Dec","credit_card","OH",22.67,0,0,"0"
6000," 36 months",16.77,213.24,"D","D2","< 1 year","MORTGAGE",42000,"Source Verified","11-Dec","debt_consolidation","CA",6.83,0,0,"0"
15600," 36 months",12.69,523.3,"B","B5","< 1 year","RENT",60000,"Verified","11-Dec","credit_card","FL",11.42,0,0,"0"
18000," 60 months",13.49,414.09,"C","C1","6 years","RENT",52000,"Source Verified","11-Dec","debt_consolidation","CA",17.77,0,2,"0"
11325," 36 months",9.91,364.95,"B","B1","5 years","RENT",29000,"Verified","11-Dec","debt_consolidation","CA",16.8,0,0,"0"
14000," 36 months",14.65,482.92,"C","C3","2 years","RENT",53000,"Verified","11-Dec","debt_consolidation","GA",22.89,0,1,"0"
13975," 36 months",8.9,443.76,"A","A5","1 year","MORTGAGE",42000,"Not Verified","11-Dec","credit_card","CA",17.06,0,0,"0"
24000," 36 months",7.9,750.97,"A","A4","9 years","RENT",62004,"Verified","11-Dec","debt_consolidation","NJ",10.92,0,0,"0"
7000," 36 months",7.9,219.04,"A","A4","4 years","MORTGAGE",48000,"Not Verified","11-Dec","debt_consolidation","KY",15.38,0,1,"0"
6000," 36 months",12.42,200.5,"B","B4","7 years","MORTGAGE",39996,"Source Verified","11-Dec","other","NC",18.84,1,1,"0"
14000," 36 months",12.42,467.82,"B","B4","6 years","OWN",52000,"Not Verified","11-Dec","debt_consolidation","CA",13.82,0,0,"0"
13800," 60 months",11.71,304.96,"B","B3","8 years","MORTGAGE",109000,"Verified","11-Dec","small_business","WI",4.44,0,0,"0"
16000," 60 months",17.27,399.97,"D","D3","10+ years","RENT",57000,"Not Verified","11-Dec","debt_consolidation","CA",10.91,0,0,"0"
24000," 60 months",14.65,566.56,"C","C3","6 years","MORTGAGE",90000,"Verified","11-Dec","debt_consolidation","GA",17.15,0,1,"1"
18000," 60 months",11.71,397.77,"B","B3","4 years","MORTGAGE",40000,"Verified","11-Dec","major_purchase","VA",2.1,0,0,"0"
35000," 60 months",19.42,916.03,"E","E3","8 years","MORTGAGE",220000,"Verified","11-Dec","small_business","GA",11.41,0,0,"0"
12000," 60 months",13.49,276.06,"C","C1","< 1 year","RENT",50000,"Source Verified","11-Dec","debt_consolidation","SC",10.61,0,2,"0"
8000," 36 months",12.69,268.36,"B","B5","5 years","RENT",36000,"Not Verified","11-Dec","debt_consolidation","CA",11.13,1,0,"1"
25000," 60 months",14.27,585.22,"C","C2","n/a","MORTGAGE",117000,"Verified","11-Dec","debt_consolidation","IL",12.71,0,1,"0"
1000," 36 months",10.65,32.58,"B","B2","< 1 year","RENT",12000,"Source Verified","11-Dec","moving","NY",4,0,1,"0"
5000," 36 months",6.62,153.52,"A","A2","1 year","OWN",30000,"Source Verified","11-Dec","wedding","FL",13.76,0,0,"0"
8500," 60 months",17.58,213.91,"D","D4","< 1 year","RENT",75000,"Source Verified","11-Dec","debt_consolidation","CT",8.4,0,1,"0"
22000," 60 months",12.69,497.09,"B","B5","6 years","MORTGAGE",91663,"Verified","11-Dec","credit_card","MN",11.98,0,2,"0"
10000," 36 months",16.77,355.39,"D","D2","6 years","OWN",45000,"Source Verified","11-Dec","credit_card","CA",8.43,0,0,"0"
6000," 36 months",7.9,187.75,"A","A4","5 years","MORTGAGE",139200,"Not Verified","11-Dec","car","PA",20.09,0,0,"0"
30000," 36 months",19.42,1106.07,"E","E3","6 years","MORTGAGE",90000,"Source Verified","11-Dec","debt_consolidation","KY",7.95,0,0,"0"
16000," 36 months",6.62,491.26,"A","A2","10+ years","MORTGAGE",1e+05,"Not Verified","11-Dec","debt_consolidation","PA",9.77,0,4,"0"
3000," 60 months",12.42,67.38,"B","B4","2 years","MORTGAGE",106800,"Not Verified","11-Dec","car","PA",6.6,0,5,"0"
16000," 60 months",13.49,368.08,"C","C1","10+ years","MORTGAGE",62000,"Source Verified","11-Dec","credit_card","OH",17.13,0,3,"0"
12000," 36 months",16.29,423.61,"D","D1","5 years","RENT",125000,"Source Verified","11-Dec","credit_card","NY",6.1,1,2,"1"
35000," 60 months",20.89,944.71,"F","F1","10+ years","MORTGAGE",1e+05,"Verified","11-Dec","debt_consolidation","WI",9.31,0,2,"0"
5000," 36 months",9.91,161.13,"B","B1","1 year","RENT",31000,"Source Verified","11-Dec","moving","CO",19.01,2,2,"0"
13000," 36 months",12.69,436.09,"B","B5","6 years","RENT",118000,"Source Verified","11-Dec","credit_card","NY",6.33,0,0,"1"
11200," 36 months",10.65,364.83,"B","B2","10+ years","RENT",83000,"Verified","11-Dec","credit_card","CA",10.15,0,0,"0"
12000," 60 months",17.27,299.98,"D","D3","2 years","RENT",36048,"Not Verified","11-Dec","debt_consolidation","MT",20.51,1,1,"0"
15000," 60 months",18.25,382.95,"D","D5","10+ years","MORTGAGE",50004,"Source Verified","11-Dec","debt_consolidation","TX",21.41,1,0,"1"
35000," 60 months",23.13,989.29,"G","G2","3 years","MORTGAGE",220000,"Source Verified","11-Dec","home_improvement","CA",18.36,0,3,"1"
3200," 36 months",12.69,107.35,"B","B5","5 years","RENT",54000,"Source Verified","11-Dec","debt_consolidation","NV",4.71,0,1,"0"
6000," 36 months",12.42,200.5,"B","B4","< 1 year","RENT",30000,"Source Verified","11-Dec","debt_consolidation","CA",8.92,0,0,"1"
3100," 36 months",11.71,102.54,"B","B3","< 1 year","RENT",20000,"Source Verified","11-Dec","credit_card","CA",21.78,0,0,"0"
5000," 36 months",9.91,161.13,"B","B1","2 years","OWN",25000,"Source Verified","11-Dec","medical","GA",23.18,0,1,"0"
25000," 36 months",12.69,838.63,"B","B5","2 years","RENT",80000,"Verified","11-Dec","debt_consolidation","CA",9.33,0,0,"0"
5000," 36 months",16.77,177.7,"D","D2","10+ years","MORTGAGE",89000,"Source Verified","11-Dec","home_improvement","MN",24.54,0,0,"1"
8800," 36 months",6.03,267.84,"A","A1","5 years","MORTGAGE",135000,"Not Verified","11-Dec","home_improvement","OH",8.85,0,0,"0"
6000," 36 months",14.27,205.86,"C","C2","9 years","RENT",55000,"Verified","11-Dec","debt_consolidation","CA",24.55,0,0,"0"
12000," 36 months",14.65,413.94,"C","C3","5 years","RENT",36888,"Source Verified","11-Dec","small_business","GA",15.45,0,1,"0"
8000," 36 months",15.96,281.1,"C","C5","5 years","RENT",48500,"Source Verified","11-Dec","debt_consolidation","TX",23.51,0,1,"0"
10000," 36 months",11.71,330.76,"B","B3","10+ years","MORTGAGE",32000,"Verified","11-Dec","debt_consolidation","VA",17.63,0,0,"0"
21000," 60 months",15.27,502.57,"C","C4","7 years","MORTGAGE",90000,"Verified","11-Dec","home_improvement","WA",13.23,0,1,"0"
3975," 60 months",17.58,100.04,"D","D4","6 years","MORTGAGE",42000,"Source Verified","11-Dec","debt_consolidation","NV",10.29,0,0,"0"
19075," 60 months",17.58,480.04,"D","D4","8 years","RENT",41500,"Verified","11-Dec","debt_consolidation","NY",23.91,0,0,"1"
3000," 36 months",8.9,95.26,"A","A5","< 1 year","RENT",61160,"Source Verified","11-Dec","moving","NJ",8.24,0,1,"1"
5000," 36 months",14.27,171.55,"C","C2","1 year","OWN",60000,"Not Verified","11-Dec","debt_consolidation","FL",17,0,3,"0"
35000," 60 months",12.69,790.82,"B","B5","10+ years","RENT",102000,"Verified","11-Dec","debt_consolidation","CA",16.58,0,0,"0"
10625," 36 months",12.42,355.04,"B","B4","2 years","RENT",30000,"Not Verified","11-Dec","credit_card","NY",23.36,0,1,"0"
12000," 36 months",11.71,396.92,"B","B3","8 years","RENT",50000,"Verified","11-Dec","debt_consolidation","NY",18.31,0,0,"0"
9750," 36 months",16.77,346.5,"D","D2","< 1 year","RENT",24300,"Source Verified","11-Dec","debt_consolidation","OR",12.74,0,0,"0"
12000," 36 months",17.27,429.45,"D","D3","4 years","RENT",50000,"Not Verified","11-Dec","other","CA",18.77,0,0,"0"
21600," 36 months",19.03,792.1,"E","E2","7 years","RENT",120000,"Source Verified","11-Dec","debt_consolidation","CA",9.71,0,0,"0"
6000," 36 months",8.9,190.52,"A","A5","< 1 year","MORTGAGE",26400,"Not Verified","11-Dec","home_improvement","TX",8.91,0,1,"0"
25450," 60 months",21.28,692.53,"F","F2","5 years","MORTGAGE",82000,"Verified","11-Dec","major_purchase","SC",20.9,0,3,"0"
3575," 36 months",7.51,111.23,"A","A3","6 years","RENT",45000,"Source Verified","11-Dec","debt_consolidation","FL",14.59,0,0,"0"
12000," 36 months",12.42,400.99,"B","B4","10+ years","RENT",55000,"Source Verified","11-Dec","credit_card","WA",14.18,1,0,"0"
3000," 36 months",11.71,99.23,"B","B3","10+ years","RENT",30000,"Not Verified","11-Dec","credit_card","CO",10.68,0,1,"0"
7000," 36 months",8.9,222.28,"A","A5","2 years","RENT",45000,"Source Verified","11-Dec","other","NJ",6.13,0,3,"1"
21000," 36 months",11.71,694.6,"B","B3","10+ years","MORTGAGE",60000,"Source Verified","11-Dec","home_improvement","NC",3,1,0,"0"
25000," 60 months",22.06,691.33,"F","F4","7 years","RENT",180000,"Source Verified","11-Dec","small_business","CA",7.04,0,1,"1"
12000," 60 months",14.27,280.91,"C","C2","10+ years","MORTGAGE",68000,"Verified","11-Dec","debt_consolidation","NJ",9.35,1,1,"1"
25000," 60 months",18.25,638.25,"D","D5","6 years","MORTGAGE",92604,"Source Verified","11-Dec","debt_consolidation","NY",18.84,1,2,"0"
6075," 36 months",6.03,184.9,"A","A1","8 years","MORTGAGE",79200,"Source Verified","11-Dec","debt_consolidation","MA",10.17,0,0,"0"
5000," 36 months",11.71,165.38,"B","B3","10+ years","RENT",43000,"Source Verified","11-Dec","other","OK",13.48,0,0,"0"
10400," 36 months",15.27,361.9,"C","C4","10+ years","RENT",38004,"Not Verified","11-Dec","debt_consolidation","NH",19.58,0,1,"1"
8000," 36 months",15.96,281.1,"C","C5","4 years","OWN",42000,"Source Verified","11-Dec","debt_consolidation","GA",12.34,0,2,"0"
11000," 36 months",12.42,367.57,"B","B4","1 year","RENT",85000,"Source Verified","11-Dec","credit_card","NC",18.17,0,0,"0"
33600," 60 months",14.27,786.53,"C","C2","10+ years","RENT",86000,"Source Verified","11-Dec","debt_consolidation","IL",20.57,0,0,"0"
12000," 36 months",14.27,411.71,"C","C2","3 years","RENT",75000,"Not Verified","11-Dec","credit_card","CA",24.56,0,0,"0"
12000," 36 months",6.62,368.45,"A","A2","10+ years","MORTGAGE",90000,"Verified","11-Dec","debt_consolidation","KY",12.09,0,2,"0"
11100," 60 months",15.96,269.7,"C","C5","10+ years","MORTGAGE",50000,"Verified","11-Dec","debt_consolidation","WV",24.12,0,2,"0"
20000," 36 months",18.64,729.49,"E","E1","2 years","RENT",61000,"Source Verified","11-Dec","debt_consolidation","CA",12.28,0,1,"0"
3000," 36 months",10.65,97.72,"B","B2","4 years","RENT",40000,"Not Verified","11-Dec","debt_consolidation","AZ",8.58,0,2,"1"
15075," 36 months",15.27,524.58,"C","C4","6 years","RENT",37000,"Not Verified","11-Dec","debt_consolidation","NY",20.5,0,1,"1"
15000," 36 months",17.27,536.81,"D","D3","6 years","RENT",90000,"Source Verified","11-Dec","credit_card","CT",5.84,0,1,"0"
24000," 36 months",17.58,862.61,"D","D4","3 years","MORTGAGE",80500,"Verified","11-Dec","credit_card","NH",14.33,0,1,"0"
8500," 36 months",10.65,276.88,"B","B2","10+ years","RENT",50000,"Source Verified","11-Dec","debt_consolidation","NY",16.32,0,3,"0"
28000," 60 months",18.64,720.81,"E","E1","2 years","MORTGAGE",120000,"Verified","11-Dec","debt_consolidation","NY",10.18,0,3,"1"
23000," 60 months",18.64,592.09,"E","E1","6 years","RENT",62000,"Verified","11-Dec","debt_consolidation","GA",21.17,0,0,"0"
5500," 36 months",9.91,177.24,"B","B1","6 years","MORTGAGE",59000,"Not Verified","11-Dec","debt_consolidation","TX",8.75,0,1,"0"
15000," 36 months",22.35,575.58,"F","F5","10+ years","RENT",67000,"Verified","11-Dec","debt_consolidation","NY",17.57,2,1,"1"
5000," 36 months",12.69,167.73,"B","B5","3 years","MORTGAGE",142000,"Verified","11-Dec","debt_consolidation","IL",13.28,0,1,"1"
8875," 36 months",14.65,306.14,"C","C3","< 1 year","RENT",33000,"Verified","11-Dec","wedding","FL",21.16,3,1,"0"
8000," 36 months",9.91,257.8,"B","B1","< 1 year","RENT",30000,"Source Verified","11-Dec","moving","PA",3.88,0,4,"1"
4500," 36 months",14.27,154.4,"C","C2","10+ years","RENT",55000,"Not Verified","11-Nov","debt_consolidation","FL",18.92,1,2,"1"
35000," 60 months",13.49,805.17,"C","C1","10+ years","MORTGAGE",135000,"Verified","11-Dec","other","PA",7.72,0,4,"0"
10000," 36 months",13.49,339.31,"C","C1","5 years","OWN",25000,"Not Verified","11-Dec","credit_card","NY",10.32,0,2,"0"
18650," 36 months",7.9,583.57,"A","A4","10+ years","MORTGAGE",50000,"Not Verified","11-Dec","credit_card","WI",21.62,0,0,"0"
16000," 60 months",15.27,382.92,"C","C4","5 years","RENT",99000,"Verified","11-Dec","debt_consolidation","NY",7.76,0,2,"0"
23700," 60 months",17.58,596.43,"D","D4","5 years","RENT",105842,"Source Verified","11-Dec","credit_card","MA",13.17,0,3,"0"
6400," 36 months",7.51,199.11,"A","A3","< 1 year","RENT",76800,"Not Verified","11-Dec","major_purchase","IL",9.58,0,1,"0"
7000," 60 months",18.64,180.21,"E","E1","2 years","RENT",33000,"Source Verified","11-Dec","other","TX",8.8,0,1,"0"
3500," 36 months",14.27,120.09,"C","C2","< 1 year","RENT",34000,"Not Verified","11-Nov","debt_consolidation","CA",20.19,0,0,"0"
10200," 36 months",7.9,319.17,"A","A4","< 1 year","MORTGAGE",65000,"Source Verified","11-Dec","other","CA",16.98,0,0,"0"
12000," 36 months",12.42,400.99,"B","B4","5 years","RENT",69600,"Not Verified","11-Dec","wedding","FL",19.09,1,3,"1"
9000," 36 months",11.71,297.69,"B","B3","2 years","RENT",35000,"Not Verified","11-Dec","debt_consolidation","CA",6.38,0,0,"1"
4000," 36 months",12.69,134.18,"B","B5","10+ years","RENT",43000,"Source Verified","11-Dec","debt_consolidation","CA",17.11,0,1,"0"
35000," 60 months",21.28,952.39,"F","F2","4 years","MORTGAGE",85000,"Verified","11-Dec","debt_consolidation","IL",16.56,0,0,"1"
20000," 60 months",17.58,503.32,"D","D4","2 years","MORTGAGE",120000,"Verified","11-Dec","credit_card","UT",11.05,0,1,"0"
5000," 36 months",9.91,161.13,"B","B1","3 years","MORTGAGE",55000,"Source Verified","11-Dec","other","FL",6.98,0,0,"0"
20000," 60 months",13.49,460.1,"C","C1","10+ years","RENT",40000,"Verified","11-Dec","debt_consolidation","NY",23.31,0,0,"1"
7200," 36 months",6.62,221.07,"A","A2","10+ years","MORTGAGE",71000,"Verified","11-Dec","other","CA",11.46,0,3,"0"
5500," 36 months",7.51,171.11,"A","A3","4 years","RENT",63000,"Verified","11-Dec","other","CA",5.56,2,0,"0"
3000," 36 months",10.65,97.72,"B","B2","< 1 year","RENT",30000,"Not Verified","11-Dec","major_purchase","PA",17.96,0,1,"0"
20000," 60 months",15.27,478.64,"C","C4","10+ years","RENT",110000,"Verified","11-Dec","debt_consolidation","SC",18.63,0,1,"0"
9000," 36 months",16.77,319.85,"D","D2","9 years","RENT",40000,"Verified","11-Dec","credit_card","OH",16.74,0,0,"0"
9000," 36 months",8.9,285.78,"A","A5","3 years","RENT",80000,"Not Verified","11-Dec","debt_consolidation","NY",3.3,0,0,"0"
6000," 36 months",7.9,187.75,"A","A4","10+ years","RENT",34000,"Not Verified","11-Dec","debt_consolidation","SD",5.54,0,0,"0"
4000," 36 months",6.62,122.82,"A","A2","9 years","MORTGAGE",80000,"Source Verified","11-Dec","home_improvement","FL",10.48,0,1,"0"
28200," 60 months",19.03,731.99,"E","E2","10+ years","MORTGAGE",72000,"Verified","11-Dec","home_improvement","MD",22.88,0,2,"0"
21200," 60 months",18.25,541.23,"D","D5","4 years","RENT",57250,"Verified","11-Dec","debt_consolidation","CO",23.25,0,0,"0"
25000," 36 months",15.27,869.95,"C","C4","5 years","RENT",168000,"Verified","11-Dec","debt_consolidation","AZ",15.5,0,1,"0"
12000," 36 months",11.71,396.92,"B","B3","7 years","RENT",38000,"Source Verified","11-Dec","debt_consolidation","MA",4.67,0,1,"0"
15000," 60 months",20.3,399.92,"E","E5","6 years","MORTGAGE",95000,"Verified","11-Dec","other","OH",15.15,0,0,"0"
17000," 36 months",12.42,568.06,"B","B4","< 1 year","MORTGAGE",76788,"Verified","11-Dec","home_improvement","AZ",10.06,0,3,"0"
20000," 36 months",7.51,622.22,"A","A3","10+ years","RENT",59000,"Verified","11-Dec","other","WI",10.54,0,0,"0"
5000," 60 months",16.77,123.65,"D","D2","n/a","RENT",62000,"Verified","11-Dec","credit_card","NY",7.39,0,0,"1"
7700," 36 months",8.9,244.5,"A","A5","6 years","RENT",24000,"Source Verified","11-Dec","credit_card","WA",18.3,0,0,"0"
14000," 60 months",17.58,352.32,"D","D4","4 years","RENT",71000,"Not Verified","11-Dec","debt_consolidation","NJ",11.65,0,0,"0"
10000," 36 months",12.42,334.16,"B","B4","< 1 year","RENT",40000,"Not Verified","11-Dec","debt_consolidation","NY",8.55,0,0,"0"
6475," 36 months",9.91,208.66,"B","B1","4 years","RENT",25000,"Source Verified","11-Dec","debt_consolidation","CA",22.51,0,0,"0"
12000," 60 months",19.91,317.33,"E","E4","10+ years","RENT",65000,"Verified","11-Dec","debt_consolidation","NY",14.38,1,0,"1"
12600," 60 months",19.03,327.06,"E","E2","10+ years","MORTGAGE",37209.6,"Source Verified","11-Dec","debt_consolidation","OH",12.67,0,0,"0"
15600," 36 months",6.03,474.8,"A","A1","9 years","MORTGAGE",73000,"Not Verified","11-Dec","debt_consolidation","CA",18.49,0,2,"0"
25000," 36 months",15.96,878.44,"C","C5","3 years","RENT",110000,"Verified","11-Dec","debt_consolidation","CA",8.21,0,1,"0"
14400," 36 months",14.27,494.05,"C","C2","10+ years","MORTGAGE",108060,"Not Verified","11-Dec","credit_card","IL",7.7,0,2,"0"
25000," 36 months",6.62,767.6,"A","A2","2 years","MORTGAGE",249999.96,"Source Verified","11-Dec","car","TX",4.65,0,0,"0"
25000," 60 months",18.25,638.25,"D","D5","10+ years","MORTGAGE",46520.88,"Verified","11-Dec","debt_consolidation","FL",9.91,0,0,"0"
18000," 36 months",7.9,563.23,"A","A4","9 years","RENT",43000,"Source Verified","11-Dec","debt_consolidation","CA",23.13,0,0,"0"
12000," 36 months",6.62,368.45,"A","A2","n/a","MORTGAGE",57758.88,"Verified","11-Dec","debt_consolidation","MO",12.53,0,0,"0"
4000," 36 months",6.03,121.75,"A","A1","10+ years","MORTGAGE",89000,"Not Verified","11-Nov","debt_consolidation","MO",9.01,0,1,"0"
30000," 60 months",18.64,772.29,"E","E1","2 years","MORTGAGE",90960,"Verified","11-Dec","debt_consolidation","TX",15.58,0,1,"0"
27700," 60 months",20.3,738.52,"E","E5","6 years","MORTGAGE",60000,"Verified","11-Dec","small_business","OR",0.32,0,0,"0"
12000," 36 months",7.51,373.33,"A","A3","10+ years","RENT",90000,"Verified","11-Dec","debt_consolidation","MD",11.91,0,1,"0"
10000," 36 months",7.51,311.11,"A","A3","2 years","MORTGAGE",94800,"Not Verified","11-Dec","medical","FL",13.08,0,1,"0"
16000," 60 months",22.35,445.1,"F","F5","1 year","MORTGAGE",120000,"Source Verified","11-Dec","other","MD",21.16,4,1,"1"
5000," 36 months",15.96,175.69,"C","C5","2 years","MORTGAGE",1e+05,"Source Verified","11-Nov","home_improvement","NC",18.53,0,2,"0"
25000," 60 months",24.11,720.8,"G","G5","4 years","MORTGAGE",145000,"Verified","11-Dec","credit_card","TX",8.3,0,0,"0"
8000," 36 months",8.9,254.03,"A","A5","3 years","OWN",19200,"Not Verified","11-Dec","credit_card","MO",14.75,0,2,"0"
17375," 36 months",14.27,596.12,"C","C2","3 years","MORTGAGE",48000,"Verified","11-Dec","home_improvement","TX",19.15,0,1,"0"
2500," 36 months",10.65,81.44,"B","B2","3 years","RENT",15600,"Verified","11-Dec","moving","CA",20.08,0,0,"0"
15800," 60 months",18.25,403.37,"D","D5","4 years","RENT",83000,"Verified","11-Dec","debt_consolidation","CA",13.1,0,1,"0"
6000," 36 months",6.03,182.62,"A","A1","10+ years","MORTGAGE",70000,"Not Verified","11-Nov","debt_consolidation","AL",12.15,0,0,"0"
35000," 36 months",10.65,1140.07,"B","B2","7 years","MORTGAGE",365000,"Source Verified","11-Dec","house","MA",18.14,0,4,"0"
15000," 36 months",16.77,533.08,"D","D2","1 year","RENT",59000,"Source Verified","11-Dec","debt_consolidation","CO",16.45,1,0,"0"
18500," 36 months",12.42,618.19,"B","B4","9 years","MORTGAGE",91000,"Verified","11-Dec","debt_consolidation","IL",11.29,0,0,"0"
35000," 60 months",14.27,819.3,"C","C2","1 year","MORTGAGE",550000,"Verified","11-Dec","house","VA",4.34,0,4,"0"
6000," 36 months",10.65,195.44,"B","B2","< 1 year","MORTGAGE",40000,"Source Verified","11-Dec","debt_consolidation","NY",8.1,0,3,"0"
15000," 36 months",10.65,488.6,"B","B2","6 years","MORTGAGE",62000,"Not Verified","11-Dec","debt_consolidation","TX",13.14,0,0,"0"
4800," 36 months",12.42,160.4,"B","B4","10+ years","MORTGAGE",108000,"Not Verified","11-Dec","car","OH",9.64,0,1,"0"
18000," 60 months",19.42,471.1,"E","E3","6 years","MORTGAGE",55000,"Source Verified","11-Dec","debt_consolidation","TX",13.07,0,2,"0"
20000," 36 months",12.42,668.31,"B","B4","4 years","MORTGAGE",90000,"Source Verified","11-Dec","home_improvement","TX",8.41,0,0,"0"
29000," 60 months",12.69,655.25,"B","B5","2 years","OWN",96000,"Verified","11-Dec","debt_consolidation","UT",12.88,0,0,"0"
14125," 60 months",15.27,338.04,"C","C4","6 years","RENT",39500,"Verified","11-Dec","debt_consolidation","UT",23.54,0,1,"0"
17625," 60 months",20.3,469.91,"E","E5","6 years","OWN",36000,"Source Verified","11-Dec","debt_consolidation","MD",19.17,0,0,"1"
5000," 36 months",12.69,167.73,"B","B5","2 years","RENT",33000,"Source Verified","11-Dec","moving","AZ",14.8,0,1,"0"
10000," 36 months",6.62,307.04,"A","A2","8 years","RENT",70360,"Not Verified","11-Dec","credit_card","NY",8.29,0,0,"0"
10000," 36 months",6.03,304.36,"A","A1","10+ years","MORTGAGE",120000,"Not Verified","11-Dec","small_business","PA",4.85,0,0,"0"
13200," 60 months",14.27,309,"C","C2","7 years","RENT",47000,"Not Verified","11-Dec","credit_card","CO",12.61,0,0,"0"
2400," 36 months",11.71,79.39,"B","B3","< 1 year","MORTGAGE",30000,"Source Verified","11-Nov","debt_consolidation","FL",1.6,0,0,"0"
4000," 36 months",7.9,125.17,"A","A4","6 years","MORTGAGE",57500,"Source Verified","11-Dec","debt_consolidation","MA",9.75,0,0,"0"
12000," 36 months",6.03,365.23,"A","A1","1 year","MORTGAGE",41053,"Source Verified","11-Dec","debt_consolidation","AL",6.17,0,1,"0"
24000," 60 months",12.69,542.28,"B","B5","3 years","MORTGAGE",85000,"Verified","11-Dec","credit_card","WA",25.54,0,0,"1"
4000," 60 months",19.03,103.83,"E","E2","7 years","MORTGAGE",54996,"Source Verified","11-Dec","debt_consolidation","CA",7.2,0,1,"0"
3200," 36 months",7.9,100.13,"A","A4","n/a","MORTGAGE",48000,"Not Verified","11-Dec","debt_consolidation","GA",27.15,0,0,"1"
14000," 36 months",11.71,463.07,"B","B3","n/a","RENT",49150.8,"Not Verified","11-Dec","debt_consolidation","NY",14.94,1,0,"0"
